Test Name,Skill Name,School Name,Focus Group Category,Focus Group,MGP (2016),Count (2016),MGP (2017),Count (2017),MGP (2018),Count (2018),MGP Change from 2016-2017,MGP Change from 2017-2018
CMAS,ELA,Cheltenham Elementary School,Overall,All Students,63.5,90,31,85,42,97,-32.5,11
CMAS,ELA,Cheltenham Elementary School,Grade,4th Grade,75,33,44,41,39,45,-31,-5
CMAS,ELA,Cheltenham Elementary School,Grade,5th Grade,51,57,19,44,43.5,52,-32,24.5
CMAS,ELA,Cheltenham Elementary School,Ed Level,Elementary,63.5,90,31,85,42,97,-32.5,11
CMAS,ELA,Cheltenham Elementary School,Race/Ethnicity,Native American,,2,,,,,,
CMAS,ELA,Cheltenham Elementary School,Race/Ethnicity,Asian,,2,,,,,,
CMAS,ELA,Cheltenham Elementary School,Race/Ethnicity,Black,,13,,13,,13,,
CMAS,ELA,Cheltenham Elementary School,Race/Ethnicity,Hispanic,65,67,28,67,38,73,-37,10
CMAS,ELA,Cheltenham Elementary School,Race/Ethnicity,White,,3,,4,,6,,
CMAS,ELA,Cheltenham Elementary School,Race/Ethnicity,Two+ Races,,3,,1,,5,,
CMAS,ELA,Cheltenham Elementary School,FRL Status,FRL,63,89,32,83,41.5,94,-31,9.5
CMAS,ELA,Cheltenham Elementary School,FRL Status,Non-FRL,,1,,2,,3,,
CMAS,ELA,Cheltenham Elementary School,EL Status,Non-ELL,62.5,50,36,49,36.5,64,-26.5,0.5
CMAS,ELA,Cheltenham Elementary School,EL Status,ELL,66,30,28,30,43,28,-38,15
CMAS,ELA,Cheltenham Elementary School,EL Status,Redesignated/Exited ELL,,10,,6,,5,,
CMAS,ELA,Cheltenham Elementary School,SPED Status,SPED,,10,,12,,18,,
CMAS,ELA,Cheltenham Elementary School,SPED Status,Non-SPED,65,80,31,73,42,79,-34,11
CMAS,ELA,Cheltenham Elementary School,SOC Status,SOC,64,87,29,81,40,91,-35,11
CMAS,ELA,Cheltenham Elementary School,SOC Status,Non-SOC,,3,,4,,6,,
CMAS,ELA,Cheltenham Elementary School,GT Status,GT,,4,,,,2,,
CMAS,ELA,Cheltenham Elementary School,GT Status,Non-GT,63.5,86,31,85,41,95,-32.5,10
CMAS,ELA,College View Elementary School,Overall,All Students,58,101,59,97,38.5,90,1,-20.5
CMAS,ELA,College View Elementary School,Grade,4th Grade,61,35,61,39,50,40,0,-11
CMAS,ELA,College View Elementary School,Grade,5th Grade,55,66,56.5,58,37,50,1.5,-19.5
CMAS,ELA,College View Elementary School,Ed Level,Elementary,58,101,59,97,38.5,90,1,-20.5
CMAS,ELA,College View Elementary School,Race/Ethnicity,Native American,,4,,1,,1,,
CMAS,ELA,College View Elementary School,Race/Ethnicity,Asian,,13,,10,,7,,
CMAS,ELA,College View Elementary School,Race/Ethnicity,Black,,9,,9,,9,,
CMAS,ELA,College View Elementary School,Race/Ethnicity,Hispanic,55,71,57,73,44.5,68,2,-12.5
CMAS,ELA,College View Elementary School,Race/Ethnicity,White,,3,,3,,4,,
CMAS,ELA,College View Elementary School,Race/Ethnicity,Two+ Races,,1,,1,,1,,
CMAS,ELA,College View Elementary School,FRL Status,FRL,57.5,100,60,95,38.5,90,2.5,-21.5
CMAS,ELA,College View Elementary School,FRL Status,Non-FRL,,1,,2,,,,
CMAS,ELA,College View Elementary School,EL Status,Non-ELL,54,41,47.5,34,31.5,32,-6.5,-16
CMAS,ELA,College View Elementary School,EL Status,ELL,55.5,38,62.5,48,58,33,7,-4.5
CMAS,ELA,College View Elementary School,EL Status,Redesignated/Exited ELL,63.5,22,,15,39,25,,
CMAS,ELA,College View Elementary School,SPED Status,SPED,,10,,12,,16,,
CMAS,ELA,College View Elementary School,SPED Status,Non-SPED,58,91,61,85,42,74,3,-19
CMAS,ELA,College View Elementary School,SOC Status,SOC,56.5,98,60.5,94,39,86,4,-21.5
CMAS,ELA,College View Elementary School,SOC Status,Non-SOC,,3,,3,,4,,
CMAS,ELA,College View Elementary School,GT Status,GT,,16,,1,,4,,
CMAS,ELA,College View Elementary School,GT Status,Non-GT,57,85,58.5,96,38,86,1.5,-20.5
CMAS,ELA,Trevista at Horace Mann,Overall,All Students,60,62,52.5,86,37,85,-7.5,-15.5
CMAS,ELA,Trevista at Horace Mann,Grade,4th Grade,58,35,44,43,29,33,-14,-15
CMAS,ELA,Trevista at Horace Mann,Grade,5th Grade,67,27,58,43,49.5,52,-9,-8.5
CMAS,ELA,Trevista at Horace Mann,Ed Level,Elementary,60,62,52.5,86,37,85,-7.5,-15.5
CMAS,ELA,Trevista at Horace Mann,Race/Ethnicity,Native American,,1,,2,,,,
CMAS,ELA,Trevista at Horace Mann,Race/Ethnicity,Asian,,1,,1,,,,
CMAS,ELA,Trevista at Horace Mann,Race/Ethnicity,Black,,9,,13,,16,,
CMAS,ELA,Trevista at Horace Mann,Race/Ethnicity,Hispanic,58,47,55,67,36,66,-3,-19
CMAS,ELA,Trevista at Horace Mann,Race/Ethnicity,White,,4,,2,,3,,
CMAS,ELA,Trevista at Horace Mann,Race/Ethnicity,Two+ Races,,,,1,,,,
CMAS,ELA,Trevista at Horace Mann,FRL Status,FRL,60,60,51,84,36.5,80,-9,-14.5
CMAS,ELA,Trevista at Horace Mann,FRL Status,Non-FRL,,2,,2,,5,,
CMAS,ELA,Trevista at Horace Mann,EL Status,Non-ELL,65,32,49.5,46,39.5,56,-15.5,-10
CMAS,ELA,Trevista at Horace Mann,EL Status,ELL,60,27,47,33,36,20,-13,-11
CMAS,ELA,Trevista at Horace Mann,EL Status,Redesignated/Exited ELL,,3,,7,,9,,
CMAS,ELA,Trevista at Horace Mann,SPED Status,SPED,,14,,19,37,29,,
CMAS,ELA,Trevista at Horace Mann,SPED Status,Non-SPED,60.5,48,58,67,41.5,56,-2.5,-16.5
CMAS,ELA,Trevista at Horace Mann,SOC Status,SOC,59,58,52.5,84,36.5,82,-6.5,-16
CMAS,ELA,Trevista at Horace Mann,SOC Status,Non-SOC,,4,,2,,3,,
CMAS,ELA,Trevista at Horace Mann,GT Status,GT,,1,,,,1,,
CMAS,ELA,Trevista at Horace Mann,GT Status,Non-GT,60,61,52.5,86,37,84,-7.5,-15.5
CMAS,ELA,Valverde Elementary School,Overall,All Students,43,55,37.5,46,37,49,-5.5,-0.5
CMAS,ELA,Valverde Elementary School,Grade,4th Grade,62,22,26.5,28,26,23,-35.5,-0.5
CMAS,ELA,Valverde Elementary School,Grade,5th Grade,40,33,,18,61.5,26,,
CMAS,ELA,Valverde Elementary School,Ed Level,Elementary,43,55,37.5,46,37,49,-5.5,-0.5
CMAS,ELA,Valverde Elementary School,Race/Ethnicity,Black,,7,,7,,4,,
CMAS,ELA,Valverde Elementary School,Race/Ethnicity,Hispanic,45,44,35,33,36.5,40,-10,1.5
CMAS,ELA,Valverde Elementary School,Race/Ethnicity,White,,4,,5,,5,,
CMAS,ELA,Valverde Elementary School,Race/Ethnicity,Two+ Races,,,,1,,,,
CMAS,ELA,Valverde Elementary School,FRL Status,FRL,43,51,35,45,37,49,-8,2
CMAS,ELA,Valverde Elementary School,FRL Status,Non-FRL,,4,,1,,,,
CMAS,ELA,Valverde Elementary School,EL Status,Non-ELL,49,20,38,24,31.5,30,-11,-6.5
CMAS,ELA,Valverde Elementary School,EL Status,ELL,42,29,36.5,22,,17,-5.5,
CMAS,ELA,Valverde Elementary School,EL Status,Redesignated/Exited ELL,,6,,,,2,,
CMAS,ELA,Valverde Elementary School,SPED Status,SPED,,9,,6,,5,,
CMAS,ELA,Valverde Elementary School,SPED Status,Non-SPED,51,46,37.5,40,37,44,-13.5,-0.5
CMAS,ELA,Valverde Elementary School,SOC Status,SOC,43,51,35,41,36.5,44,-8,1.5
CMAS,ELA,Valverde Elementary School,SOC Status,Non-SOC,,4,,5,,5,,
CMAS,ELA,Valverde Elementary School,GT Status,GT,,3,,1,,,,
CMAS,ELA,Valverde Elementary School,GT Status,Non-GT,42.5,52,35,45,37,49,-7.5,2
CMAS,ELA,Hill Campus of Arts and Sciences,Overall,All Students,48,596,67,603,57.5,562,19,-9.5
CMAS,ELA,Hill Campus of Arts and Sciences,Grade,6th Grade,45,227,69,207,71.5,168,24,2.5
CMAS,ELA,Hill Campus of Arts and Sciences,Grade,7th Grade,52,185,68,215,50,182,16,-18
CMAS,ELA,Hill Campus of Arts and Sciences,Grade,8th Grade,46,184,66,181,53.5,212,20,-12.5
CMAS,ELA,Hill Campus of Arts and Sciences,Ed Level,Middle,48,596,67,603,57.5,562,19,-9.5
CMAS,ELA,Hill Campus of Arts and Sciences,Race/Ethnicity,Native American,,2,,3,,2,,
CMAS,ELA,Hill Campus of Arts and Sciences,Race/Ethnicity,Asian,,18,,15,,13,,
CMAS,ELA,Hill Campus of Arts and Sciences,Race/Ethnicity,Black,41.5,124,60.5,124,53,115,19,-7.5
CMAS,ELA,Hill Campus of Arts and Sciences,Race/Ethnicity,Hispanic,43.5,218,63,198,57,169,19.5,-6
CMAS,ELA,Hill Campus of Arts and Sciences,Race/Ethnicity,White,54.5,210,73,224,60.5,228,18.5,-12.5
CMAS,ELA,Hill Campus of Arts and Sciences,Race/Ethnicity,Native Hawaiian/PI,,,,,,1,,
CMAS,ELA,Hill Campus of Arts and Sciences,Race/Ethnicity,Two+ Races,53.5,24,46,39,55.5,34,-7.5,9.5
CMAS,ELA,Hill Campus of Arts and Sciences,FRL Status,FRL,46,342,65,334,51,290,19,-14
CMAS,ELA,Hill Campus of Arts and Sciences,FRL Status,Non-FRL,52,254,70,269,66,272,18,-4
CMAS,ELA,Hill Campus of Arts and Sciences,EL Status,Non-ELL,49,425,68,446,57,429,19,-11
CMAS,ELA,Hill Campus of Arts and Sciences,EL Status,ELL,47,91,65,93,57.5,70,18,-7.5
CMAS,ELA,Hill Campus of Arts and Sciences,EL Status,Redesignated/Exited ELL,46.5,80,66.5,64,60,63,20,-6.5
CMAS,ELA,Hill Campus of Arts and Sciences,SPED Status,SPED,48,60,48,63,43.5,56,0,-4.5
CMAS,ELA,Hill Campus of Arts and Sciences,SPED Status,Non-SPED,48.5,536,69,540,60,506,20.5,-9
CMAS,ELA,Hill Campus of Arts and Sciences,SOC Status,SOC,45,386,63,379,56,334,18,-7
CMAS,ELA,Hill Campus of Arts and Sciences,SOC Status,Non-SOC,54.5,210,73,224,60.5,228,18.5,-12.5
CMAS,ELA,Hill Campus of Arts and Sciences,GT Status,GT,55,176,75.5,162,61,126,20.5,-14.5
CMAS,ELA,Hill Campus of Arts and Sciences,GT Status,Non-GT,44.5,420,65,441,57,436,20.5,-8
CMAS,ELA,Skinner Middle School,Overall,All Students,56,564,67,553,68.5,562,11,1.5
CMAS,ELA,Skinner Middle School,Grade,6th Grade,53,209,66,193,65,202,13,-1
CMAS,ELA,Skinner Middle School,Grade,7th Grade,62.5,194,76,187,68,187,13.5,-8
CMAS,ELA,Skinner Middle School,Grade,8th Grade,54,161,57,173,74,173,3,17
CMAS,ELA,Skinner Middle School,Ed Level,Middle,56,564,67,553,68.5,562,11,1.5
CMAS,ELA,Skinner Middle School,Race/Ethnicity,Native American,,7,,4,,3,,
CMAS,ELA,Skinner Middle School,Race/Ethnicity,Asian,,7,,7,,7,,
CMAS,ELA,Skinner Middle School,Race/Ethnicity,Black,66.5,28,59,23,,18,-7.5,
CMAS,ELA,Skinner Middle School,Race/Ethnicity,Hispanic,50.5,344,62.5,326,62,318,12,-0.5
CMAS,ELA,Skinner Middle School,Race/Ethnicity,White,66,157,75,178,77,201,9,2
CMAS,ELA,Skinner Middle School,Race/Ethnicity,Two+ Races,54,21,,15,,15,,
CMAS,ELA,Skinner Middle School,FRL Status,FRL,50,359,63,313,61,279,13,-2
CMAS,ELA,Skinner Middle School,FRL Status,Non-FRL,66,205,71.5,240,77,283,5.5,5.5
CMAS,ELA,Skinner Middle School,EL Status,Non-ELL,56,451,68,425,71,438,12,3
CMAS,ELA,Skinner Middle School,EL Status,ELL,55,78,58,77,56,53,3,-2
CMAS,ELA,Skinner Middle School,EL Status,Redesignated/Exited ELL,69,35,73,51,63,71,4,-10
CMAS,ELA,Skinner Middle School,SPED Status,SPED,42,83,49,79,59,77,7,10
CMAS,ELA,Skinner Middle School,SPED Status,Non-SPED,59,481,70,474,70,485,11,0
CMAS,ELA,Skinner Middle School,SOC Status,SOC,52,407,63,375,63,361,11,0
CMAS,ELA,Skinner Middle School,SOC Status,Non-SOC,66,157,75,178,77,201,9,2
CMAS,ELA,Skinner Middle School,GT Status,GT,70,169,75,176,78,151,5,3
CMAS,ELA,Skinner Middle School,GT Status,Non-GT,50,395,62,377,65,411,12,3
COSAT,ELA,North High School,Overall,All Students,,,53,152,40,647,,-13
COSAT,ELA,North High School,Grade,9th Grade,,,,,32,254,,
COSAT,ELA,North High School,Grade,10th Grade,,,,,40,220,,
COSAT,ELA,North High School,Grade,11th Grade,,,53,152,53,173,,0
COSAT,ELA,North High School,Ed Level,High,,,53,152,40,647,,-13
COSAT,ELA,North High School,Race/Ethnicity,Native American,,,,,,9,,
COSAT,ELA,North High School,Race/Ethnicity,Asian,,,,1,,7,,
COSAT,ELA,North High School,Race/Ethnicity,Black,,,,9,26,33,,
COSAT,ELA,North High School,Race/Ethnicity,Hispanic,,,54,130,39,496,,-15
COSAT,ELA,North High School,Race/Ethnicity,White,,,,10,48,85,,
COSAT,ELA,North High School,Race/Ethnicity,Two+ Races,,,,2,,17,,
COSAT,ELA,North High School,FRL Status,FRL,,,53,120,41.5,474,,-11.5
COSAT,ELA,North High School,FRL Status,Non-FRL,,,48,32,35,173,,-13
COSAT,ELA,North High School,EL Status,Non-ELL,,,53,85,38,405,,-15
